# Gaia DR3 passband G (photon response). Source: SVO Filter Profile Service GAIA/GAIA3.G
# Official curves: Gaia (E)DR3, Riello et al. 2021 (A&A 649 A3). wavelength in Angstrom.
wavelength_A,response_photon
6330.0000,7.13691645e-01
6340.0000,7.13868346e-01
6350.0000,7.13697745e-01
6360.0000,7.14492999e-01
6370.0000,7.14678077e-01
6380.0000,7.15388754e-01
6390.0000,7.14921456e-01
6400.0000,7.14900215e-01
6410.0000,7.15024655e-01
6420.0000,7.15672997e-01
6430.0000,7.16050141e-01
6440.0000,7.16029673e-01
6450.0000,7.15691967e-01
6460.0000,7.15876385e-01
6470.0000,7.16960226e-01
6480.0000,7.16885590e-01
6490.0000,7.16335586e-01
6500.0000,7.16852196e-01
6510.0000,7.17133044e-01
6520.0000,7.17218193e-01
6530.0000,7.17476337e-01
6540.0000,7.17378145e-01
6550.0000,7.17074319e-01
6560.0000,7.17315340e-01
6570.0000,7.17141788e-01
6580.0000,7.17788804e-01
6590.0000,7.17426278e-01
6600.0000,7.18062023e-01
6610.0000,7.17863061e-01
6620.0000,7.17904999e-01
6630.0000,7.17349336e-01
6640.0000,7.17572183e-01
6650.0000,7.17855475e-01
6660.0000,7.18331919e-01
6670.0000,7.18591257e-01
6680.0000,7.18370434e-01
6690.0000,7.17904819e-01
6700.0000,7.17424017e-01
6710.0000,7.17843160e-01
6720.0000,7.17132656e-01
6730.0000,7.18053057e-01
6740.0000,7.17816316e-01
6750.0000,7.17454983e-01
6760.0000,7.16810763e-01
6770.0000,7.16613730e-01
6780.0000,7.16703680e-01
6790.0000,7.16807547e-01
6800.0000,7.16404699e-01
6810.0000,7.16026816e-01
6820.0000,7.15499602e-01
6830.0000,7.15194638e-01
6840.0000,7.14879264e-01
6850.0000,7.14721608e-01
6860.0000,7.14450875e-01
6870.0000,7.14094940e-01
6880.0000,7.13726844e-01
6890.0000,7.13923319e-01
6900.0000,7.13025742e-01
6910.0000,7.13036723e-01
6920.0000,7.13585254e-01
6930.0000,7.11755622e-01
6940.0000,7.12043117e-01
6950.0000,7.11160229e-01
6960.0000,7.11020577e-01
6970.0000,7.10521348e-01
6980.0000,7.09937406e-01
6990.0000,7.10055660e-01
7000.0000,7.09495858e-01
7010.0000,7.09043040e-01
7020.0000,7.07167516e-01
7030.0000,7.06464455e-01
7040.0000,7.06753219e-01
7050.0000,7.06325785e-01
7060.0000,7.05940442e-01
7070.0000,7.04739929e-01
7080.0000,7.03579509e-01
7090.0000,7.02717312e-01
7100.0000,7.02344476e-01
7110.0000,7.01830306e-01
7120.0000,7.01171670e-01
7130.0000,7.00393918e-01
7140.0000,6.99831057e-01
7150.0000,6.98460827e-01
7160.0000,6.97818643e-01
7170.0000,6.97153616e-01
7180.0000,6.95742888e-01
7190.0000,6.94712311e-01
7200.0000,6.94885081e-01
7210.0000,6.92885573e-01
7220.0000,6.91711104e-01
7230.0000,6.90353195e-01
7240.0000,6.90406445e-01
7250.0000,6.88749013e-01
7260.0000,6.88944913e-01
7270.0000,6.87407572e-01
7280.0000,6.85488901e-01
7290.0000,6.84378064e-01
7300.0000,6.82863231e-01
7310.0000,6.82507641e-01
7320.0000,6.81127183e-01
7330.0000,6.80226610e-01
7340.0000,6.79059439e-01
7350.0000,6.77756760e-01
7360.0000,6.75739777e-01
7370.0000,6.74126836e-01
7380.0000,6.73332111e-01
7390.0000,6.72389245e-01
7400.0000,6.70880823e-01
7410.0000,6.68980520e-01
7420.0000,6.67243532e-01
7430.0000,6.65983957e-01
7440.0000,6.64046543e-01
7450.0000,6.62867306e-01
7460.0000,6.60693305e-01
7470.0000,6.59014151e-01
7480.0000,6.58198324e-01
7490.0000,6.56407760e-01
7500.0000,6.54375536e-01
7510.0000,6.52956919e-01
7520.0000,6.51626270e-01
7530.0000,6.49032293e-01
7540.0000,6.47150544e-01
7550.0000,6.46231665e-01
7560.0000,6.44301161e-01
7570.0000,6.42591901e-01
7580.0000,6.40525269e-01
7590.0000,6.38859881e-01
7600.0000,6.36105955e-01
7610.0000,6.34343902e-01
7620.0000,6.32896096e-01
7630.0000,6.30976684e-01
7640.0000,6.29296421e-01
7650.0000,6.27303744e-01
7660.0000,6.25030680e-01
7670.0000,6.22227291e-01
7680.0000,6.20911861e-01
7690.0000,6.17873955e-01
7700.0000,6.15501457e-01
7710.0000,6.13840826e-01
7720.0000,6.11354644e-01
7730.0000,6.09068523e-01
7740.0000,6.07479810e-01
7750.0000,6.05089456e-01
7760.0000,6.02636396e-01
7770.0000,5.99457487e-01
7780.0000,5.97541445e-01
