# Gaia DR3 passband BP (photon response). Source: SVO Filter Profile Service GAIA/GAIA3.Gbp
# Official curves: Gaia (E)DR3, Riello et al. 2021 (A&A 649 A3). wavelength in Angstrom.
wavelength_A,response_photon
6510.0000,5.17226528e-01
6520.0000,5.05295762e-01
6530.0000,4.92593396e-01
6540.0000,4.78396697e-01
6550.0000,4.62366590e-01
6560.0000,4.44457339e-01
6570.0000,4.23517898e-01
6580.0000,3.99810682e-01
6590.0000,3.72012218e-01
6600.0000,3.41204564e-01
6610.0000,3.06842538e-01
6620.0000,2.70231311e-01
6630.0000,2.32192119e-01
6640.0000,1.94558666e-01
6650.0000,1.58484372e-01
6660.0000,1.25293348e-01
6670.0000,9.59304114e-02
6680.0000,7.10224768e-02
6690.0000,5.08224576e-02
6700.0000,3.51559339e-02
6710.0000,2.35547920e-02
6720.0000,1.52746744e-02
6730.0000,9.66652664e-03
6740.0000,5.99667294e-03
6750.0000,3.70522417e-03
6760.0000,2.33209081e-03
6770.0000,1.54197378e-03
6780.0000,1.10159476e-03
6790.0000,8.60998556e-04
6800.0000,7.28910264e-04
6810.0000,6.53755796e-04
6820.0000,6.06871317e-04
6830.0000,5.73865400e-04
6840.0000,5.47322835e-04
6850.0000,5.24017362e-04
6860.0000,4.41104484e-04
6870.0000,3.78473008e-04
6880.0000,3.38360180e-04
6890.0000,3.10827338e-04
6900.0000,2.84946553e-04
6910.0000,2.58229547e-04
6920.0000,2.32119752e-04
6930.0000,1.93693104e-04
6940.0000,1.51301154e-04
6950.0000,1.13610422e-04
6960.0000,7.82949834e-05
6970.0000,5.44503302e-05
6980.0000,3.95909706e-05
6990.0000,2.81433109e-05
7000.0000,2.02556920e-05
7010.0000,1.56164202e-05
7020.0000,1.19623965e-05
7030.0000,9.69169436e-06
7040.0000,8.30922234e-06
7050.0000,6.08899493e-06
7060.0000,5.12904688e-06
7070.0000,5.26021058e-06
7080.0000,4.17818770e-06
7090.0000,4.09618565e-06
7100.0000,4.25533546e-06
7110.0000,4.14991273e-06
7120.0000,3.89151804e-06
7130.0000,3.73973114e-06
7140.0000,3.52809172e-06
7150.0000,2.88792024e-06
7160.0000,2.75585712e-06
7170.0000,2.25863219e-06
7180.0000,1.76627925e-06
7190.0000,1.34440289e-06
7200.0000,9.89680713e-07
7210.0000,8.91421482e-07
7220.0000,8.07018399e-07
7230.0000,6.25088405e-07
7240.0000,5.30301365e-07
7250.0000,4.24900727e-07
7260.0000,3.41109937e-07
7270.0000,2.40118549e-07
7280.0000,1.96577010e-07
7290.0000,2.63470328e-07
7300.0000,1.27016225e-07
7310.0000,1.60511787e-07
7320.0000,9.68093350e-08
7330.0000,1.29384271e-07
7340.0000,9.38186762e-08
7350.0000,1.16831386e-07
7360.0000,8.16035228e-09
7370.0000,6.90362772e-08
7380.0000,7.36657024e-08
7390.0000,4.22541479e-08
7400.0000,7.93884518e-09
7410.0000,6.42887980e-08
7420.0000,9.94567096e-09
7430.0000,2.33008537e-08
7440.0000,3.43582782e-08
7450.0000,1.27555036e-07
7460.0000,8.34518225e-08
7470.0000,4.04428169e-08
7480.0000,3.05135838e-08
7490.0000,4.88601873e-08
7500.0000,2.17167412e-08
