# Gaia DR3 passband RP (photon response). Source: SVO Filter Profile Service GAIA/GAIA3.Grp
# Official curves: Gaia (E)DR3, Riello et al. 2021 (A&A 649 A3). wavelength in Angstrom.
wavelength_A,response_photon
9080.0000,4.30684357e-01
9090.0000,4.28669162e-01
9100.0000,4.23654460e-01
9110.0000,4.18915973e-01
9120.0000,4.15890966e-01
9130.0000,4.10143623e-01
9140.0000,4.07133098e-01
9150.0000,4.04197844e-01
9160.0000,3.98043522e-01
9170.0000,3.95939870e-01
9180.0000,3.91905588e-01
9190.0000,3.85372349e-01
9200.0000,3.83730402e-01
9210.0000,3.79115196e-01
9220.0000,3.72956086e-01
9230.0000,3.71090295e-01
9240.0000,3.65953197e-01
9250.0000,3.61122163e-01
9260.0000,3.58664245e-01
9270.0000,3.53080428e-01
9280.0000,3.48646485e-01
9290.0000,3.45985143e-01
9300.0000,3.40958152e-01
9310.0000,3.36678596e-01
9320.0000,3.33484319e-01
9330.0000,3.28855358e-01
9340.0000,3.24670165e-01
9350.0000,3.20112994e-01
9360.0000,3.15973109e-01
9370.0000,3.11791075e-01
9380.0000,3.06799651e-01
9390.0000,3.03668198e-01
9400.0000,2.99197500e-01
9410.0000,2.94028081e-01
9420.0000,2.91504230e-01
9430.0000,2.86248966e-01
9440.0000,2.80446125e-01
9450.0000,2.78412000e-01
9460.0000,2.73720891e-01
9470.0000,2.67994732e-01
9480.0000,2.65971876e-01
9490.0000,2.61426010e-01
9500.0000,2.55540294e-01
9510.0000,2.52565205e-01
9520.0000,2.49010746e-01
9530.0000,2.44003016e-01
9540.0000,2.41150012e-01
9550.0000,2.37207521e-01
9560.0000,2.31747474e-01
9570.0000,2.28323747e-01
9580.0000,2.24369982e-01
9590.0000,2.20233136e-01
9600.0000,2.16538662e-01
9610.0000,2.12179493e-01
9620.0000,2.08783952e-01
9630.0000,2.05285483e-01
9640.0000,2.00535578e-01
9650.0000,1.97731477e-01
9660.0000,1.94424961e-01
9670.0000,1.89447876e-01
9680.0000,1.86851985e-01
9690.0000,1.83816386e-01
9700.0000,1.78790820e-01
9710.0000,1.76044540e-01
9720.0000,1.73426443e-01
9730.0000,1.68332833e-01
9740.0000,1.65360351e-01
9750.0000,1.63473244e-01
9760.0000,1.58644238e-01
9770.0000,1.55069019e-01
9780.0000,1.53546970e-01
9790.0000,1.49523820e-01
9800.0000,1.45390223e-01
9810.0000,1.43640682e-01
9820.0000,1.40515886e-01
9830.0000,1.35959300e-01
9840.0000,1.33697586e-01
9850.0000,1.31857189e-01
9860.0000,1.27314965e-01
9870.0000,1.24215489e-01
9880.0000,1.22090509e-01
9890.0000,1.18222628e-01
9900.0000,1.14263946e-01
9910.0000,1.11685617e-01
9920.0000,1.08729706e-01
9930.0000,1.04437227e-01
9940.0000,1.01489157e-01
9950.0000,9.87332966e-02
9960.0000,9.44685040e-02
9970.0000,9.12183012e-02
9980.0000,8.83980751e-02
9990.0000,8.47538402e-02
10000.0000,8.15165215e-02
10010.0000,7.86732282e-02
10020.0000,7.51605505e-02
10030.0000,7.20496541e-02
10040.0000,6.93747773e-02
10050.0000,6.61172781e-02
10060.0000,6.28712013e-02
10070.0000,6.04979441e-02
10080.0000,5.77320676e-02
10090.0000,5.43783149e-02
10100.0000,5.21648656e-02
10110.0000,4.98818943e-02
10120.0000,4.67519123e-02
10130.0000,4.43954393e-02
10140.0000,4.25383196e-02
10150.0000,4.00457635e-02
10160.0000,3.75725452e-02
10170.0000,3.60426235e-02
10180.0000,3.41708897e-02
10190.0000,3.18119130e-02
10200.0000,3.01690233e-02
10210.0000,2.88635385e-02
10220.0000,2.69578199e-02
10230.0000,2.52710953e-02
10240.0000,2.41169738e-02
10250.0000,2.28553054e-02
10260.0000,2.12025816e-02
10270.0000,2.00423128e-02
10280.0000,1.90770916e-02
10290.0000,1.77731553e-02
10300.0000,1.65918440e-02
10310.0000,1.57559173e-02
10320.0000,1.48486139e-02
10330.0000,1.37182572e-02
10340.0000,1.29141151e-02
10350.0000,1.22217690e-02
10360.0000,1.13707307e-02
10370.0000,1.05711368e-02
10380.0000,9.99104989e-03
10390.0000,9.37161738e-03
10400.0000,8.61890823e-03
10410.0000,8.07236638e-03
10420.0000,7.60517614e-03
10430.0000,7.04576714e-03
10440.0000,6.49708839e-03
10450.0000,6.11395300e-03
10460.0000,5.72535895e-03
10470.0000,5.22217613e-03
10480.0000,4.85607994e-03
10490.0000,4.56761733e-03
10500.0000,4.22677141e-03
10510.0000,3.84829941e-03
10520.0000,3.59845977e-03
10530.0000,3.36810276e-03
10540.0000,3.07450240e-03
10550.0000,2.81129339e-03
10560.0000,2.63746389e-03
10570.0000,2.45553507e-03
10580.0000,2.20908009e-03
10590.0000,2.03073979e-03
10600.0000,1.90498995e-03
10610.0000,1.75292299e-03
10620.0000,1.56799085e-03
10630.0000,1.45283230e-03
10640.0000,1.35710511e-03
10650.0000,1.23235835e-03
10660.0000,1.10451616e-03
10670.0000,1.02517422e-03
10680.0000,9.52947059e-04
10690.0000,8.54406689e-04
10700.0000,7.69338960e-04
10710.0000,7.13493700e-04
10720.0000,6.58462324e-04
10730.0000,5.84632519e-04
10740.0000,5.28503009e-04
10750.0000,4.90531778e-04
10760.0000,4.49461985e-04
10770.0000,3.96150459e-04
10780.0000,3.59992587e-04
10790.0000,3.33217606e-04
10800.0000,3.02837270e-04
